"Municipality","Index","Sensitivity_Slope","MK_P_Value"
"Badigad","sdii",-0.00617259487009804,0.415438985650341
"Badigad","gsl",0.0975609756097561,0.0397407895181166
"Badigad","r10mm",0,0.804146873082086
"Badigad","r20mm",0,0.815138608006589
"Badigad","prcptot",-0.762644299719892,0.756901747948838
"Baglung","ice_days",0,NA
"Baglung","frost_days",-0.285714285714286,6.48698656730273e-05
"Baglung","cdd",0.0333333333333333,0.364685546446934
"Baglung","cwd",0.0588235294117647,0.554555519094798
"Baglung","r99p",-1.27748107644231,0.301356569168861
"Baglung","r95p",-2.41577297398374,0.168724032590524
"Baglung","wsdi",0,0.0966046967588554
"Baglung","csdi",0,0.00766155952243899
"Baglung","sdii",-0.0146376448521552,0.110626658174605
"Baglung","gsl",0,0.133978705626698
"Baglung","r10mm",-0.05,0.425886828778933
"Baglung","r20mm",-0.0416666666666667,0.380066220889529
"Baglung","prcptot",-3.9827301445122,0.126336328995083
"Bandipur","ice_days",0,NA
"Bandipur","frost_days",0,0.501236527817822
"Bandipur","cdd",-0.166666666666667,0.00658708811531079
"Bandipur","cwd",-0.18983268983269,0.200026686370011
"Bandipur","r99p",-1.72451015314465,0.116883323739923
"Bandipur","r95p",-2.89800014607539,0.110626658174605
"Bandipur","wsdi",-0.113055386488131,0.0456212604633915
"Bandipur","csdi",0,3.58251031663617e-05
"Bandipur","sdii",-0.0354284418965517,0.0111384339990585
"Bandipur","gsl",0,1
"Bandipur","r10mm",-0.0857142857142857,0.151127734240304
"Bandipur","r20mm",-0.0869565217391304,0.0135275587935396
"Bandipur","prcptot",-4.46675769090909,0.0193713105772092
"Bareng","ice_days",0,NA
"Bareng","frost_days",-0.133333333333333,0.00148959269754287
"Bareng","cdd",0.0476190476190476,0.211123704635791
"Bareng","cwd",-0.129733520336606,0.350493081105478
"Bareng","r99p",-0.596447714285718,0.513677711728823
"Bareng","r95p",-2.45746985784483,0.239476144406605
"Bareng","wsdi",0,0.0746013395072788
"Bareng","csdi",0,0.00246881744216541
"Bareng","sdii",-0.0125300080594406,0.213878929561951
"Bareng","gsl",0,0.357328643715039
"Bareng","r10mm",0,0.969566765254371
"Bareng","r20mm",-0.0285714285714286,0.479875842676706
"Bareng","prcptot",-2.2058592201417,0.31040254877199
"Barhagaun.Muktikhsetra","ice_days",-0.484090909090909,0.000113826834393143
"Barhagaun.Muktikhsetra","frost_days",-0.158492822966507,0.000836508252576707
"Barhagaun.Muktikhsetra","cdd",0.0909090909090909,0.142039627668978
"Barhagaun.Muktikhsetra","cwd",0.124038461538462,0.310106086383046
"Barhagaun.Muktikhsetra","r99p",-0.264722033979975,0.210802849822743
"Barhagaun.Muktikhsetra","r95p",-0.36028676254902,0.489855401673687
"Barhagaun.Muktikhsetra","wsdi",0,0.000882415066593094
"Barhagaun.Muktikhsetra","csdi",-0.241379310344828,6.67586684397676e-06
"Barhagaun.Muktikhsetra","sdii",-0.00370660288421054,0.378300339556816
"Barhagaun.Muktikhsetra","gsl",0,0.000974087252771661
"Barhagaun.Muktikhsetra","r10mm",0,0.796153879397076
"Barhagaun.Muktikhsetra","r20mm",0,0.847238817110536
"Barhagaun.Muktikhsetra","prcptot",-0.738772185227259,0.267160886402555
"Beni","ice_days",0,0.122980855422317
"Beni","frost_days",-0.346546310832025,4.33859647011709e-05
"Beni","cdd",0.0333333333333333,0.420190234095036
"Beni","cwd",-0.146087398373984,0.279449196457967
"Beni","r99p",-1.41373500438034,0.290382577836038
"Beni","r95p",-2.27286898133971,0.22825303012238
"Beni","wsdi",0,0.46476999823125
"Beni","csdi",-0.1,0.000935435792748182
"Beni","sdii",-0.0151355175367647,0.0873252685547746
"Beni","gsl",0.166666666666667,0.0351440744587476
"Beni","r10mm",-0.0434782608695652,0.442596126506021
"Beni","r20mm",-0.0555555555555556,0.234955199711659
"Beni","prcptot",-3.89518347202798,0.126336328995083
"Besishahar","ice_days",0,NA
"Besishahar","frost_days",-0.153194263363755,0.000707906122142056
"Besishahar","cdd",0,0.901150779430085
"Besishahar","cwd",0.0863354037267081,0.407036524716616
"Besishahar","r99p",-4.10968892784091,0.0174822135492395
"Besishahar","r95p",-7.04417691276347,0.0198705821745036
"Besishahar","wsdi",0,0.151483439473428
"Besishahar","csdi",0,0.023606930708702
"Besishahar","sdii",-0.0266224177598039,0.0439603750444465
"Besishahar","gsl",0,0.511372333248526
"Besishahar","r10mm",0.0689746300211417,0.434321192234853
"Besishahar","r20mm",0,0.859965055560097
"Besishahar","prcptot",-5.32664688333334,0.174696715713458
"Bhanu","ice_days",0,NA
"Bhanu","frost_days",0,0.00224235497122907
"Bhanu","cdd",-0.044281045751634,0.417461376967799
"Bhanu","cwd",-0.0611042183622829,0.692552480487918
"Bhanu","r99p",-3.67389622676768,0.0083809650014742
"Bhanu","r95p",-3.85437682338709,0.074119292798307
"Bhanu","wsdi",-0.0585714285714286,0.0470129495189031
"Bhanu","csdi",0,0.000201532677963364
"Bhanu","sdii",-0.0241792052663438,0.036558030221737
"Bhanu","gsl",0,0.942774947402695
"Bhanu","r10mm",-0.0794736842105263,0.268579673344849
"Bhanu","r20mm",-0.0966880341880342,0.0988489730843561
"Bhanu","prcptot",-5.329740625,0.0383012216356462
"Bhimad","ice_days",0,NA
"Bhimad","frost_days",0,0.0655139518673336
"Bhimad","cdd",-0.0274024024024024,0.53541112106718
"Bhimad","cwd",-0.208817829457364,0.106264393611495
"Bhimad","r99p",-3.30586083558673,0.040837386128621
"Bhimad","r95p",-3.90233099158497,0.117159392819052
"Bhimad","wsdi",-0.0933866279069767,0.0288166173155411
"Bhimad","csdi",0,0.00502923217988938
"Bhimad","sdii",-0.0324460356065469,0.0193713105772092
"Bhimad","gsl",0,1
"Bhimad","r10mm",-0.0653955808980756,0.229428682585311
"Bhimad","r20mm",-0.0882352941176471,0.04716290659394
"Bhimad","prcptot",-5.39772087177987,0.050309810536625
"Bhimsen","ice_days",0,NA
"Bhimsen","frost_days",-0.04,0.0136032583588605
"Bhimsen","cdd",0.0430157261794635,0.349916627394081
"Bhimsen","cwd",-0.179907524169819,0.250939510343972
"Bhimsen","r99p",-3.51651898174242,0.0203573038422919
"Bhimsen","r95p",-2.54238804560054,0.213878929561951
"Bhimsen","wsdi",0,0.115013454815686
"Bhimsen","csdi",0,0.000539404412732778
"Bhimsen","sdii",-0.0210917642619047,0.0681558561943504
"Bhimsen","gsl",0,0.791694881744846
"Bhimsen","r10mm",-0.0769230769230769,0.242938587291776
"Bhimsen","r20mm",-0.0298573975044563,0.477392957619065
"Bhimsen","prcptot",-3.15968722591363,0.131130012299558
"Bhirkot","ice_days",0,NA
"Bhirkot","frost_days",-0.0277777777777778,0.00275297691383179
"Bhirkot","cdd",0,0.579617979313671
"Bhirkot","cwd",0,0.973397916178123
"Bhirkot","r99p",-3.50117143424447,0.0235871718824732
"Bhirkot","r95p",-4.8254641683175,0.0821662598527348
"Bhirkot","wsdi",-0.0454545454545455,0.0492191449058088
"Bhirkot","csdi",0,0.0608156468820078
"Bhirkot","sdii",-0.0275742706617647,0.0599551873098111
"Bhirkot","gsl",0,0.942774947402695
"Bhirkot","r10mm",-0.0824829931972789,0.194729599057585
"Bhirkot","r20mm",-0.0789473684210526,0.0949151217962879
